playerprofile,position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam
Christophe Lauwers,Centre-Forward,Retired,?,38,3
Sébastien Dufoor,Centre-Forward,KVK Wemmel,free transfer,37,3
Wagneau Eloi,Centre-Forward,Retired,?,34,2
Bas Vervaeke,Attacking Midfield,Retired,?,32,1
Jamaïque Vandamme,Attacking Midfield,Retired,free transfer,35,1
Koen De Vleeschauwer,Right Midfield,Retired,free transfer,38,1
Rocky Peeters,Central Midfield,Retired,free transfer,39,3
Frédéric Vanderbiest,Defensive Midfield,Retired,?,34,2
Daan Vaesen,Defensive Midfield,Retired,free transfer,35,1
Martijn Monteyne,Right-Back,Retired,free transfer,37,3
Björn De Coninck,Left-Back,Retired,free transfer,32,1
Wouter Biebauw,Goalkeeper,Retired,free transfer,38,2
Jurgen Sierens,Goalkeeper,Retired,-,36,1
Ibrahim Tankary,Centre-Forward,Retired,free transfer,36,1
Sylvio Breleur,Centre-Forward,Retired,free transfer,39,2
Stijn Meert,Left Midfield,Retired,?,35,1
Tim Matthys,Right Midfield,SK Munkzwalm,?,35,5
Nathan D'Haemers,Right Midfield,Retired,?,38,2
Jonas Vandermarliere,Central Midfield,Sassport Boezinge,free transfer,34,3
Tony Sergeant,Central Midfield,Retired,?,35,4
Ludwin Van Nieuwenhuyze,Defensive Midfield,Retired,free transfer,36,3
Stijn Minne,Right-Back,Retired,free transfer,42,4
Guy Veldeman,Left-Back,Retired,?,35,2
Stefan Leleu,Centre-Back,Retired,free transfer,38,1
Tjörven De Brul,Centre-Back,Retired,free transfer,38,2
Sven Van Ryckeghem,Goalkeeper,Unknown,free transfer,30,1
Björn Sengier,Goalkeeper,Retired,free transfer,37,2
Pieter Merlier,Goalkeeper,SK Berlare,?,39,4
Tiago Bezerra,Centre-Forward,Al-Orobah FC,free transfer,35,1
Stavros Glouftsis,Centre-Forward,Rapid Leest,-,40,2
Benoît Ladrière,Attacking Midfield,RCS Braine,free transfer,33,1
Julien Pinelli,Left Midfield,RC Villers,free transfer,32,3
Jaroslaw Mazurkiewicz,Right Midfield,Retired,free transfer,34,2
Fadhil Mohamed Brahami,Right Midfield,Retired,?,34,0
Bob Cousin,Central Midfield,Retired,?,34,2
Trésor Luntala,Defensive Midfield,Retired,-,40,10
Geraldo Sprio,midfield,Retired,?,28,3
Alexandre Potier,midfield,AS Fontainoise,?,31,4
Martin Ekani,Right-Back,Retired,free transfer,38,2
Yannick Vervalle,Left-Back,KV Zuun,-,37,1
Quantin Durieux,Centre-Back,Without Club,?,34,6
Alexandre Teklak,Centre-Back,Retired,free transfer,37,2
Benoit Daniel,Goalkeeper,Retired,free transfer,33,4
Asmir Begovic,Goalkeeper,Everton,End of loan,34,1
Michaël Cordier,Goalkeeper,FC Havré,free transfer,36,2
Ibad Muhamadu,Centre-Forward,Retired,free transfer,31,2
Paulus Roiha,Centre-Forward,Retired,-,32,1
Dieter Dekelver,Centre-Forward,Retired,free transfer,34,1
Darko Pivaljevic,Centre-Forward,Retired,-,39,1
Vit Valenta,Attacking Midfield,Retired,?,35,0
Frederik Boi,Right Midfield,Retired,free transfer,37,1
Matthias Feys,Central Midfield,SV Diksmuide,free transfer,37,5
Harold Meyssen,Central Midfield,Retired,free transfer,39,2
Christophe Grondin,Defensive Midfield,Tournefeuille,?,33,1
Milenko Milosevic,Defensive Midfield,Retired,free transfer,42,5
Ewout Denys,midfield,Rapid Leest,-,33,1
Yannick Euvrard,Right-Back,KRC Waregem,?,33,1
Tom Van Mol,Left-Back,Retired,free transfer,38,2
Bram Vandenbussche,Centre-Back,SK Eernegem,free transfer,39,6
Anthony Portier,Centre-Back,Retired,free transfer,36,2
Jimmy De Wulf,Centre-Back,Retired,?,33,1
Denis Viane,Centre-Back,Retired,free transfer,35,1
Francky Vandendriessche,Goalkeeper,Retired,free transfer,36,2
Jurgen Rutten,Centre-Forward,Retired,free transfer,28,2
Brendon Santalab,Centre-Forward,Without Club,free transfer,38,1
Désiré M'Bonabucya,Centre-Forward,Retired,?,31,1
Tamás Hajnal,Attacking Midfield,Retired,-,37,3
Kris Buvens,Right Midfield,Retired,free transfer,33,1
Dimitri De Condé,Central Midfield,Retired,free transfer,36,0
Jari Niemi,Central Midfield,Retired,?,36,2
Jonas Bogaerts,Defensive Midfield,KVK Tienen,free transfer,31,2
Peter Delorge,Defensive Midfield,Retired,free transfer,35,2
Sander Debroux,midfield,Retired,free transfer,32,3
Kristof Lardenoit,Centre-Back,Retired,free transfer,31,1
Jeroen Simaeys,Centre-Back,Retired,free transfer,32,1
Nicky Hayen,Centre-Back,Retired,?,34,1
Simon Mignolet,Goalkeeper,Club Brugge,€10.60m,31,6
Dusan Belic,Goalkeeper,Retired,free transfer,36,1
Bart Deelkens,Goalkeeper,Retired,?,40,2
Moussa Sanogo,Centre-Forward,Retired,-,35,1
Igor de Camargo,Centre-Forward,Without Club,?,39,0
Kristof Snelders,Second Striker,Retired,free transfer,34,3
Musaba Selemani,Left Winger,Retired,free transfer,31,5
Gertjan Martens,Attacking Midfield,KAV Dendermonde,free transfer,32,1
Sofiane Zaaboub,Left Midfield,Retired,-,30,1
Davy Theunis,Right Midfield,Retired,free transfer,30,0
Kristoffer Andersen,Central Midfield,Retired,-,33,6
Richard Culek,Defensive Midfield,Retired,free transfer,40,4
Ibrahim Kargbo,Defensive Midfield,Retired,free transfer,37,3
Patricio Bengui,Right-Back,Retired,free transfer,33,2
Christ Bruno,Left-Back,Retired,free transfer,37,2
Cédric Dellevoet,Centre-Back,SK Londerzeel,free transfer,23,2
Michael Jonckheere,Centre-Back,RFC Genappe,free transfer,35,2
Zoltán Pető,Centre-Back,Retired,free transfer,40,3
Steve Colpaert,Centre-Back,Retired,free transfer,35,1
Istvan Dudas,Goalkeeper,Retired,free transfer,35,2
Tailson,Centre-Forward,Retired,?,34,0
Marcin Zewlakow,Centre-Forward,Retired,free transfer,37,1
Adnan Custovic,Right Winger,Retired,?,36,2
Paco Sanchez,Central Midfield,Retired,-,28,0
Steve Dugardein,Defensive Midfield,Retired,-,38,3
Geoffray Toyes,Right-Back,Retired,free transfer,36,1
David Grondin,Left-Back,Retired,-,33,2
Mustapha Oussalah,Left-Back,Retired,-,37,1
Suad Filekovic,Left-Back,Retired,free transfer,37,2
Benjamin Delacourt,Centre-Back,Tourcoing FC,free transfer,36,1
Olivier Besengez,Centre-Back,Retired,-,36,17
Jean-Philippe Charlet,Centre-Back,Retired,free transfer,31,1
Kevin Hatchi,Centre-Back,Retired,free transfer,35,1
Daan Van Gijseghem,Centre-Back,Without Club,free transfer,32,4
Christophe Martin,Goalkeeper,Retired,free transfer,41,8
Joseph Akpala,Centre-Forward,Retired,free transfer,35,0
Izzet Akgül,Centre-Forward,Retired,free transfer,36,1
Toni Brogno,Second Striker,Retired,free transfer,36,1
Sergiy Serebrennikov,Right Winger,Retired,free transfer,38,3
Ousmane Bangoura,attack,Retired,free transfer,26,0
Orlando,attack,Retired,-,35,3
Fabien Camus,Attacking Midfield,Retired,?,34,0
Nasredine Kraouche,Attacking Midfield,Retired,?,29,1
Grégory Christ,Left Midfield,CO Trivières,free transfer,40,2
Thibaut Detal,Central Midfield,Assesse,-,29,0
Abdelmajid Oulmers,midfield,Retired,-,34,0
Frank Defays,Right-Back,Retired,free transfer,36,1
Velimir Varga,Left-Back,Retired,-,34,0
Dante,Centre-Back,OGC Nice,€4.50m,33,1
Laurent Ciman,Centre-Back,Retired,free transfer,36,2
Mahamoudou Kéré,Centre-Back,Retired,?,33,1
Damien Lahaye,Goalkeeper,RUS Binche,free transfer,38,1
Bertrand Laquait,Goalkeeper,Retired,free transfer,38,1
Dragan Mrdja,Centre-Forward,Retired,?,34,0
Goran Tomic,Centre-Forward,Retired,free transfer,30,1
Krunoslav Lovrek,Centre-Forward,Tehnicar 1974,?,37,0
Tony Vairelles,Centre-Forward,Retired,free transfer,38,2
Jurgen Raeymaeckers,Right Winger,Greunsj. Vossem,?,32,2
Goran Mujanovic,Right Winger,Trnje Trnovec,free transfer,34,1
Adolph Tohoua,Left Winger,UCE Liège,free transfer,35,1
Daniel Cruz,Attacking Midfield,Retired,free transfer,32,1
Karel Snoeckx,Right Midfield,Retired,free transfer,38,1
Kristof Imschoot,Central Midfield,Retired,-,35,2
Marko Andjic,Defensive Midfield,FK Backa,free transfer,37,1
Ognjen Vukojevic,Defensive Midfield,Retired,free transfer,33,2
Hasan Kacic,Left-Back,Retired,free transfer,39,4
Michael Nnaji,Centre-Back,Unknown,free transfer,37,1
Tim Dreesen,Centre-Back,KSAV St.Dimpna,free transfer,33,3
Laurent Fassotte,Centre-Back,Retired,?,36,1
Jochem Tanghe,Goalkeeper,Zandhoven SK,free transfer,31,1
Yves Van Der Straeten,Goalkeeper,Retired,free transfer,39,4
Cliff Mardulier,Goalkeeper,KVC Wilrijk,free transfer,36,3
Alain Koudou,Centre-Forward,Retired,?,32,2
Constant Kaiper Kipre,Centre-Forward,Retired,-,28,1
Mahamadou Dissa,Centre-Forward,Retired,?,37,1
Gervinho,Left Winger,Aris Saloniki,free transfer,35,1
Roméo Affessi,Attacking Midfield,Retired,free transfer,34,1
Mohamed Diallo,Attacking Midfield,Retired,-,33,3
Marco Né,Attacking Midfield,Retired,free transfer,30,1
Enzo Neve,Central Midfield,KFC HO Kalken,free transfer,34,4
Daryl Murphy,Centre-Forward,Retired,free transfer,39,2
Kevin Kyle,Centre-Forward,Retired,-,33,1
Anthony Le Tallec,Centre-Forward,Retired,free transfer,37,2
Jon Stead,Centre-Forward,Retired,free transfer,38,2
Liam Lawrence,Attacking Midfield,Retired,-,36,1
Andy Welsh,Left Midfield,Retired,free transfer,36,1
Martin Woods,Central Midfield,Brackley,-,36,0
Grant Leadbitter,Central Midfield,Retired,free transfer,35,2
Carl Robinson,Central Midfield,Retired,free transfer,36,2
Tommy Miller,Central Midfield,Retired,-,36,0
Dean Whitehead,Central Midfield,Retired,free transfer,36,3
Rory Delap,Central Midfield,Retired,free transfer,38,1
Justin Hoyte,Right-Back,Miami Beach CF,-,36,3
Stephen Wright,Right-Back,Retired,free transfer,37,1
Daniel Smith,Left-Back,Holland PH SC,-,28,0
George McCartney,Left-Back,Retired,free transfer,33,2
Danny Collins,Centre-Back,Retired,-,39,3
Nyron Nosworthy,Centre-Back,Retired,free transfer,36,1
Neill Collins,Centre-Back,Retired,free transfer,35,2
Alan Stubbs,Centre-Back,Retired,free transfer,37,0
Christian Bassila,Centre-Back,Retired,free transfer,34,3
Steven Caldwell,Centre-Back,Retired,free transfer,35,2
Gary Breen,Centre-Back,Retired,-,36,1
Joe Murphy,Goalkeeper,Tranmere Rovers,free transfer,39,1
Kelvin Davis,Goalkeeper,Retired,€1.13m,40,10
Neil Mellor,Centre-Forward,Retired,End of loan,30,1
Jason Roberts,Centre-Forward,Retired,€595Th.,36,2
Henri Camara,Centre-Forward,Retired,free transfer,41,1
Gary Teale,Right Winger,Retired,free transfer,37,4
Alan Mahon,Left Midfield,Retired,-,33,0
Andreas Johansson,Central Midfield,Retired,free transfer,37,2
Graham Kavanagh,Central Midfield,Retired,free transfer,38,4
Damien Francis,Central Midfield,Retired,€2.25m,29,2
Josip Skoko,Central Midfield,Retired,free transfer,35,1
Jimmy Bullard,Central Midfield,Retired,free transfer,34,0
Luke Joyce,Defensive Midfield,Radcliffe,free transfer,35,1
David Wright,Defensive Midfield,Retired,free transfer,34,1
Paul Scharner,Defensive Midfield,Retired,-,39,0
Matt Jackson,Right-Back,Retired,End of loan,37,1
Steve McMillan,Left-Back,Retired,€800Th.,31,5
Leighton Baines,Left-Back,Retired,€7.50m,35,13
Lee McCulloch,Centre-Back,Retired,free transfer,38,1
Reto Ziegler,Centre-Back,FC Lugano,-,35,0
Arjan de Zeeuw,Centre-Back,Retired,free transfer,39,1
Stéphane Henchoz,Centre-Back,Retired,-,34,2
Pascal Chimbonda,Centre-Back,Durham City,-,41,1
Gary Walsh,Goalkeeper,Retired,free transfer,38,3
Mike Pollitt,Goalkeeper,Retired,End of loan,42,1
John Filan,Goalkeeper,Retired,End of loan,37,1
Matt Jansen,Centre-Forward,Retired,free transfer,37,4
Henrik Pedersen,Centre-Forward,Retired,free transfer,38,5
Jared Borgetti,Centre-Forward,Retired,free transfer,38,1
Kevin Davies,Centre-Forward,Retired,free transfer,38,2
El-Hadji Diouf,Centre-Forward,Retired,-,35,2
Stelios Giannakopoulos,Right Winger,Retired,free transfer,36,1
Fabrice Fernandes,Left Winger,Retired,-,29,0
El Hadji Diouf,Attacking Midfield,AFK Tisnov,loan transfer,27,-1
Jay-Jay Okocha,Attacking Midfield,Retired,-,39,0
Kevin Nolan,Attacking Midfield,Retired,-,36,1
Iván Campo,Defensive Midfield,Retired,-,36,0
Ricardo Gardner,Left-Back,Retired,End of loan,34,1
Jaroslaw Fojut,Centre-Back,Retired,free transfer,34,1
Martin Djetou,Centre-Back,Retired,-,32,0
Nicky Hunt,Centre-Back,Ashton United,free transfer,38,1
Tal Ben Haim,Centre-Back,Retired,free transfer,39,3
Bruno N'Gotty,Centre-Back,Retired,End of loan,38,1
Sam Ashton,Goalkeeper,Bootle FC,free transfer,36,1
Ali Al-Habsi,Goalkeeper,Retired,free transfer,38,1
Ian Walker,Goalkeeper,Retired,free transfer,38,4
Jussi Jääskeläinen,Goalkeeper,Retired,free transfer,43,1
Tony Stokes,Centre-Forward,Hullbridge,free transfer,34,1
Teddy Sheringham,Centre-Forward,Retired,free transfer,42,1
David Bellion,Centre-Forward,Retired,free transfer,34,2
Marlon Harewood,Centre-Forward,Retired,free transfer,37,1
Dean Ashton,Centre-Forward,Retired,€10.89m,27,4
Yossi Benayoun,Right Winger,Retired,free transfer,39,0
Kyel Reid,Left Winger,Beaconsfield,free transfer,35,0
Gavin Williams,Attacking Midfield,Retired,free transfer,34,1
Yaniv Katan,Attacking Midfield,Retired,?,34,9
Hogan Ephraim,Left Midfield,Retired,-,29,0
Chris Cohen,Central Midfield,Retired,€200Th.,31,11
Mark Noble,Central Midfield,Retired,End of loan,35,16
Hayden Mullins,Defensive Midfield,Retired,free transfer,36,1
Carl Fletcher,Defensive Midfield,Retired,-,34,1
Lionel Scaloni,Right-Back,Retired,€250Th.,37,2
Clive Clarke,Left-Back,Retired,End of loan,28,1
James Collins,Centre-Back,Retired,-,37,1
Danny Gabbidon,Centre-Back,Retired,free transfer,36,1
Elliott Ward,Centre-Back,Retired,-,36,1
Christian Dailly,Centre-Back,Retired,-,39,0
Tomas Repka,Centre-Back,Retired,free transfer,39,1
Anton Ferdinand,Centre-Back,Retired,-,34,1
Jimmy Walker,Goalkeeper,Retired,-,40,3
Shaka Hislop,Goalkeeper,Retired,free transfer,38,1
Stephen Bywater,Goalkeeper,Retired,free transfer,39,4
Jemal Johnson,Left Winger,Retired,free transfer,35,2
Craig Bellamy,Left Winger,Retired,free transfer,35,2
David Bentley,Right Midfield,Retired,End of loan,29,0
Brett Emerton,Right Midfield,Retired,free transfer,35,3
Paul Gallagher,Central Midfield,Retired,free transfer,37,6
Garry Flitcroft,Central Midfield,Retired,free transfer,34,0
Robbie Savage,Central Midfield,Retired,-,45,0
Morten Gamst Pedersen,Central Midfield,Asane Fotball,free transfer,41,2
Tugay Kerimoglu,Defensive Midfield,Retired,€1.95m,39,8
Steven Reid,Right-Back,Retired,free transfer,34,1
Michael Gray,Left-Back,Retired,free transfer,36,1
Vratislav Gresko,Left-Back,Retired,-,38,4
Aaron Mokoena,Centre-Back,Retired,free transfer,33,1
Ryan Nelsen,Centre-Back,Retired,free transfer,36,1
Lucas Neill,Centre-Back,Retired,End of loan,36,0
Brad Friedel,Goalkeeper,Retired,free transfer,44,4
Stuart Nicholson,Centre-Forward,Moreland Zebras,?,25,1
Kevin Campbell,Centre-Forward,Retired,free transfer,37,1
Geoff Horsfield,Centre-Forward,Retired,free transfer,37,1
Nwankwo Kanu,Centre-Forward,Retired,free transfer,36,6
Nathan Ellington,Centre-Forward,Retired,-,33,1
Robert Earnshaw,Centre-Forward,Retired,-,35,1
Diomansy Kamara,Right Winger,Retired,-,36,1
Jan Kozak,Attacking Midfield,Retired,free transfer,35,1
Lloyd Dyer,Left Midfield,Retired,-,38,1
Rob Davies,Central Midfield,Unknown,End of loan,33,3
Ronnie Wallwork,Central Midfield,Retired,free transfer,31,0
Nigel Quashie,Central Midfield,Retired,?,38,3
Zoltán Gera,Central Midfield,Retired,free transfer,39,4
Jonathan Greening,Central Midfield,Retired,-,38,1
Junichi Inamoto,Defensive Midfield,Nankatsu SC,free transfer,43,3
Jared Hodgkiss,Right-Back,Hereford,free transfer,33,2
Steve Watson,Right-Back,Retired,free transfer,35,2
Thomas Gaardsöe,Centre-Back,Retired,free transfer,33,2
Paul Robinson,Centre-Back,Retired,-,39,6
Neil Clement,Centre-Back,Retired,End of loan,32,2
Riccardo Scimeca,Centre-Back,Retired,free transfer,35,4
Curtis Davies,Centre-Back,Derby,€2.65m,32,4
Martin Albrechtsen,Centre-Back,Vaerebro Bk,-,41,0
Russell Hoult,Goalkeeper,Retired,-,40,1
Chris Kirkland,Goalkeeper,Retired,free transfer,35,0
Heidar Helguson,Centre-Forward,Retired,-,39,1
Brian McBride,Centre-Forward,Retired,-,40,0
Collins John,Centre-Forward,Retired,-,37,3
Claus Jensen,Attacking Midfield,Retired,€1.90m,30,3
Luís Boa Morte,Left Midfield,Retired,-,36,1
Ahmad Elrich,Right Midfield,Parramatta E.,-,37,1
Michael Timlin,Central Midfield,Dulwich Hamlet,free transfer,35,0
Michael Brown,Central Midfield,Retired,free transfer,40,3
Steed Malbranque,Central Midfield,Retired,-,41,1
Simon Elliott,Defensive Midfield,Retired,-,38,1
Liam Rosenior,Right-Back,Retired,free transfer,34,3
Moritz Volz,Right-Back,Retired,free transfer,32,3
Rob Milsom,Left-Back,Sutton Utd,free transfer,32,0
Adam Green,Left-Back,Ashford Town,free transfer,37,3
Wayne Bridge,Left-Back,Retired,free transfer,34,1
Liam Fontaine,Centre-Back,FC Edinburgh,-,36,2
Dean Leacock,Centre-Back,Retired,free transfer,34,1
Zesh Rehman,Centre-Back,Retired,-,39,0
Philippe Christanval,Centre-Back,Retired,free transfer,30,3
Ian Pearce,Centre-Back,Retired,-,36,1
Alain Goma,Centre-Back,Retired,free transfer,37,3
Carlos Bocanegra,Centre-Back,Retired,free transfer,36,2
Tony Warner,Goalkeeper,Retired,free transfer,41,0
Mark Crossley,Goalkeeper,Retired,free transfer,42,2
Ricardo Batista,Goalkeeper,Casa Pia,free transfer,34,2
Julian Gray,Centre-Forward,Retired,-,35,1
Clinton Morrison,Centre-Forward,Retired,free transfer,40,3
Emile Heskey,Centre-Forward,Retired,-,38,1
Walter Pandiani,Centre-Forward,Retired,-,40,1
Muzzy Izzet,Attacking Midfield,Retired,free transfer,32,2
David Dunn,Attacking Midfield,Retired,free transfer,36,1
Stan Lazaridis,Left Midfield,Retired,free transfer,36,2
Peter Till,Right Midfield,Retired,free transfer,32,1
Stephen Clemence,Right Midfield,Retired,€1.50m,32,3
Damien Johnson,Central Midfield,Retired,free transfer,35,1
Nicky Butt,Central Midfield,Retired,-,36,1
Neil Kilkenny,Defensive Midfield,Western United,free transfer,35,3
Mehdi Nafti,Defensive Midfield,Retired,free transfer,36,1
Mario Melchiot,Right-Back,Retired,free transfer,35,1
Jamie Clapham,Left-Back,Retired,free transfer,35,0
Mat Sadler,Centre-Back,Retired,free transfer,37,3
Olivier Tébily,Centre-Back,Retired,-,32,0
Martin Latka,Centre-Back,Retired,free transfer,33,1
Kenny Cunningham,Centre-Back,Retired,free transfer,36,1
Jiri Jarosik,Centre-Back,Retired,free transfer,38,2
Colin Doyle,Goalkeeper,Bradford,free transfer,37,1
Nico Vaesen,Goalkeeper,Retired,free transfer,39,2
James Walker,Centre-Forward,Tilbury,free transfer,31,0
Alex Varney,Centre-Forward,Unknown,free transfer,23,1
Shaun Bartlett,Centre-Forward,Retired,?,37,1
Kevin Lisbie,Centre-Forward,VCD Athletic FC,-,44,2
Marcus Bent,Centre-Forward,Cornard United,-,42,2
Jonatan Johansson,Centre-Forward,Retired,free transfer,36,1
Darren Bent,Centre-Forward,Retired,End of loan,34,0
Dennis Rommedahl,Right Winger,Retired,free transfer,37,2
Bryan Hughes,Attacking Midfield,Retired,free transfer,36,1
Matt Holland,Central Midfield,Retired,€1.25m,35,6
Danny Murphy,Central Midfield,Retired,free transfer,36,1
Radostin Kishishev,Defensive Midfield,Retired,free transfer,38,1
Luke Young,Right-Back,Retired,€1.13m,35,3
Kelly Youga,Left-Back,Retired,-,33,1
Chris Powell,Left-Back,Retired,free transfer,41,2
Gonçalo Brandão,Centre-Back,Retired,free transfer,35,2
Jonathan Fortune,Centre-Back,Retired,free transfer,33,0
Jonathan Spector,Centre-Back,Retired,-,33,0
Talal El Karkouri,Centre-Back,Retired,?,36,0
Gonzalo Sorondo,Centre-Back,Retired,-,34,0
Chris Perry,Centre-Back,Retired,free transfer,37,2
Darren Randolph,Goalkeeper,West Ham,€5.60m,33,3
Stephan Andersen,Goalkeeper,Vaerebro Bk,free transfer,40,7
Dean Kiely,Goalkeeper,Retired,free transfer,41,4
Thomas Myhre,Goalkeeper,Retired,free transfer,38,1
Emmanuel Olisadebe,Centre-Forward,Retired,-,34,1
Wayne Routledge,Left Winger,Retired,€3.25m,36,10
Laurent Robert,Left Winger,Retired,free transfer,34,1
Zvonimir Vukic,Attacking Midfield,Retired,free transfer,36,1
Andrés D'Alessandro,Attacking Midfield,Retired,free transfer,41,0
Matthew Taylor,Left Midfield,Retired,free transfer,38,2
Gary O'Neil,Central Midfield,Retired,free transfer,36,1
Richard Hughes,Defensive Midfield,Retired,-,35,2
Giannis Skopelitis,Defensive Midfield,Retired,free transfer,40,1
Salif Diao,Defensive Midfield,Retired,-,35,4
Jhon Viáfara,Defensive Midfield,Retired,?,37,0
Pedro Mendes,Defensive Midfield,Retired,free transfer,33,1
Sean Davis,Defensive Midfield,Retired,End of loan,33,0
Linvoy Primus,Centre-Back,Retired,End of loan,37,1
Noé Pamarot,Centre-Back,Retired,-,37,1
Azar Karadas,Centre-Back,Retired,€250Th.,39,6
Andrew O'Brien,Centre-Back,Retired,free transfer,36,3
Andrea Guatelli,Goalkeeper,SC Balerna,-,35,0
Jamie Ashdown,Goalkeeper,Retired,-,34,0
Konstantinos Chalkias,Goalkeeper,Retired,-,44,2
Sam Williams,Centre-Forward,Retired,free transfer,26,2
Gabriel Agbonlahor,Centre-Forward,Retired,End of loan,32,12
Luke Moore,Centre-Forward,Retired,?,30,2
Kevin Phillips,Centre-Forward,Retired,free transfer,41,0
Juan Pablo Ángel,Centre-Forward,Retired,free transfer,40,2
Milan Baros,Centre-Forward,FK Vigantice,free transfer,39,3
Jamie Ward,Left Winger,Ilkeston Town,free transfer,36,1
Patrik Berger,Attacking Midfield,Retired,free transfer,37,2
Nolberto Solano,Right Midfield,Retired,free transfer,37,1
Lee Hendrie,Central Midfield,Retired,free transfer,36,1
Eirik Bakke,Central Midfield,Retired,?,36,2
Steven Davis,Central Midfield,Rangers,End of loan,34,0
James Milner,Central Midfield,Liverpool,€22.00m,29,5
Eric Djemba Djemba,Defensive Midfield,Retired,free transfer,40,5
Gareth Barry,Defensive Midfield,Retired,€1.10m,39,3
Mark Delaney,Right-Back,Retired,€375Th.,31,8
Wilfred Bouma,Left-Back,Retired,free transfer,35,3
Gary Cahill,Centre-Back,Without Club,free transfer,36,1
Liam Ridgewell,Centre-Back,Retired,free transfer,36,1
Aaron Hughes,Centre-Back,Retired,free transfer,40,2
Olof Mellberg,Centre-Back,Retired,free transfer,37,1
Ishmael Miller,Centre-Forward,Retired,free transfer,33,1
Bradley Wright-Phillips,Centre-Forward,Retired,-,37,0
Andy Cole,Centre-Forward,Retired,free transfer,37,0
Robbie Fowler,Centre-Forward,Retired,-,40,3
Darius Vassell,Centre-Forward,Retired,-,32,2
Kiki Musampa,Left Winger,Retired,free transfer,42,2
Trevor Sinclair,Left Winger,Retired,free transfer,35,1
Georgios Samaras,Left Winger,Retired,free transfer,33,1
Stephen Ireland,Attacking Midfield,Retired,-,33,1
Willo Flood,Central Midfield,Retired,-,34,1
Claudio Reyna,Central Midfield,Retired,free transfer,35,1
Joey Barton,Central Midfield,Retired,-,35,0
Tuomas Haapala,Defensive Midfield,Retired,free transfer,32,1
Micah Richards,Right-Back,Retired,free transfer,31,4
Danny Mills,Right-Back,Retired,End of loan,32,1
Ben Thatcher,Left-Back,Retired,free transfer,34,2
Nedum Onuoha,Centre-Back,Retired,-,35,3
David Sommeil,Centre-Back,Retired,free transfer,34,1
Richard Dunne,Centre-Back,Retired,free transfer,36,2
Mikkel Bischoff,Defender,Retired,free transfer,29,0
Kasper Schmeichel,Goalkeeper,OGC Nice,€1.68m,36,11
Nicky Weaver,Goalkeeper,Retired,free transfer,35,1
David James,Goalkeeper,Retired,-,45,1
Victor Anichebe,Centre-Forward,Retired,-,30,0
James Vaughan,Centre-Forward,Retired,free transfer,33,1
Duncan Ferguson,Centre-Forward,Retired,€5.40m,34,6
James Beattie,Centre-Forward,Retired,-,35,1
James McFadden,Second Striker,Retired,-,35,1
Andy van der Meyde,Right Winger,Retired,-,33,0
Tim Cahill,Attacking Midfield,Retired,free transfer,39,1
Leon Osman,Central Midfield,Retired,End of loan,35,12
Mikel Arteta,Central Midfield,Retired,€12.00m,34,5
Lee Carsley,Defensive Midfield,Retired,free transfer,37,1
Tony Hibbert,Right-Back,Retired,-,35,16
Phil Neville,Right-Back,Retired,€5.30m,36,8
Laurence Wilson,Left-Back,Retired,free transfer,34,2
Gary Naysmith,Left-Back,Retired,free transfer,39,4
Alessandro Pistone,Left-Back,Retired,-,33,0
Mark Hughes,Centre-Back,Retired,free transfer,35,1
David Weir,Centre-Back,Retired,free transfer,42,5
Joseph Yobo,Centre-Back,Retired,-,35,1
Per Kröldrup,Centre-Back,Retired,-,35,1
John Ruddy,Goalkeeper,Birmingham,free transfer,36,5
Nigel Martyn,Goalkeeper,Retired,€800Th.,40,3
Richard Wright,Goalkeeper,Retired,free transfer,39,4
Tom Craddock,Centre-Forward,Retired,free transfer,31,1
Danny Graham,Centre-Forward,Retired,free transfer,36,1
Joseph-Désiré Job,Centre-Forward,Retired,-,33,1
Massimo Maccarone,Centre-Forward,Retired,free transfer,41,2
Jimmy Floyd Hasselbaink,Centre-Forward,Retired,free transfer,36,1
Mark Viduka,Centre-Forward,Retired,free transfer,34,2
Szilard Nemeth,Second Striker,Retired,-,35,1
Malcolm Christie,Right Winger,Retired,-,30,1
Stewart Downing,Left Midfield,Retired,-,37,1
Doriva,Right Midfield,Retired,free transfer,36,1
Ray Parlour,Right Midfield,Retired,-,39,0
Gaizka Mendieta,Right Midfield,Retired,free transfer,34,4
Josh Walker,Central Midfield,Whitehill,-,32,2
Jason Kennedy,Central Midfield,Marske United,End of loan,36,0
James Morrison,Central Midfield,Retired,-,33,0
Lee Cattermole,Defensive Midfield,Retired,free transfer,32,1
George Boateng,Defensive Midfield,Retired,-,38,1
Stuart Parnaby,Right-Back,Retired,free transfer,33,1
Michael Reiziger,Right-Back,Retired,free transfer,34,2
Colin Cooper,Left-Back,Retired,End of loan,39,2
Andrew Taylor,Left-Back,Retired,free transfer,33,2
Franck Queudrue,Left-Back,Retired,free transfer,35,1
Rhys Williams,Centre-Back,Western Sydney,€400Th.,33,3
Gareth Southgate,Centre-Back,Retired,€9.75m,36,5
David Wheater,Centre-Back,Darlington,-,35,1
Matthew Bates,Centre-Back,Retired,free transfer,30,3
Chris Riggott,Centre-Back,Retired,free transfer,32,0
Emanuel Pogatetz,Centre-Back,Retired,free transfer,37,3
Brad Jones,Goalkeeper,Perth Glory,free transfer,39,3
