position,retirementAge,gamesPlayedLastYear,gamesPlayedLast2Year,gamesPlayedLast3Year,injurysLast3Year
4,38,11,24,31,1
4,34,12,26,19,0
3,32,31,29,41,1
3,35,0,18,20,0
3,38,1,28,35,0
3,39,1,18,26,0
3,34,16,33,31,0
3,35,27,24,32,0
2,37,16,2,9,1
2,32,13,8,25,1
1,38,8,0,27,0
1,36,6,15,42,0
4,36,0,13,7,1
4,39,26,24,13,0
3,35,28,13,13,0
3,38,19,34,21,0
3,35,0,4,27,1
3,36,1,31,27,0
2,35,23,25,24,0
2,33,13,10,22,1
2,39,4,25,27,0
2,35,6,6,10,1
4,39,0,17,39,1
4,37,2,2,4,0
3,36,13,12,30,1
3,38,13,32,29,0
2,34,8,12,35,1
2,32,3,19,29,1
2,34,12,42,11,1
2,34,3,28,31,1
2,30,1,23,16,0
2,36,1,4,11,0
2,37,15,20,29,0
2,36,18,12,30,0
4,35,12,30,25,0
4,40,25,25,36,0
4,38,31,18,18,1
2,35,38,31,38,1
4,33,13,16,38,1
4,36,31,19,35,1
3,39,14,18,16,1
3,42,8,13,37,1
3,38,4,18,30,1
3,33,10,40,15,1
3,33,2,4,6,1
3,40,0,16,45,0
2,34,12,7,6,1
2,37,31,26,6,1
2,35,3,13,10,1
2,36,17,26,21,1
2,37,12,16,40,1
1,37,38,43,5,1
4,33,21,37,13,1
4,36,32,26,22,1
4,36,11,24,34,1
3,40,22,32,33,0
3,30,24,29,14,0
3,33,7,11,7,0
3,36,14,29,40,0
3,38,25,23,31,0
3,39,21,21,33,1
2,36,4,29,29,1
2,35,14,19,27,1
2,33,6,15,26,1
2,38,14,8,1,1
2,38,14,25,35,1
2,39,15,12,8,0
2,38,11,40,30,1
2,36,31,36,32,0
2,37,12,23,34,1
4,35,5,9,26,1
4,39,13,29,30,1
4,37,6,31,34,1
3,38,3,9,22,1
3,37,7,19,34,1
3,38,31,29,48,0
3,32,11,21,17,1
3,37,15,18,34,1
3,36,15,19,37,1
3,34,28,30,32,1
3,33,2,4,6,1
3,34,2,18,24,1
3,36,35,55,49,0
3,36,31,22,44,0
3,33,29,22,22,0
3,37,15,21,31,1
2,31,15,39,16,0
2,37,31,22,25,1
2,34,18,5,40,1
2,37,7,28,26,1
2,33,3,27,20,1
2,39,8,21,27,0
2,36,34,39,39,1
2,35,4,27,3,1
1,34,0,0,1,0
4,34,11,13,24,0
3,34,21,28,34,1
3,36,23,33,12,1
2,34,1,1,14,1
2,34,26,13,10,0
2,35,40,40,34,0
2,34,16,20,28,1
2,31,6,14,12,1
2,36,1,40,32,0
2,36,5,29,35,0
2,39,35,40,33,1
2,35,30,44,26,1
1,37,1,17,37,1
4,35,13,2,22,0
4,37,27,34,32,0
4,39,10,28,21,0
4,35,3,12,20,1
3,36,0,14,24,0
3,36,4,12,17,1
3,34,14,19,51,1
3,35,14,20,37,1
2,36,9,24,15,1
2,37,2,15,31,0
2,32,21,26,25,1
